,train_loss,train_acc,val_loss,val_acc
1,0.8490832,0.7708971948172381,0.4120307,0.8863049095607235
2,0.39580587,0.8813528760207104,0.25468576,0.9239276485788114
3,0.25054678,0.9202493495788362,0.19825912,0.9422222222222222
4,0.17985079,0.9425311042992195,0.16411343,0.9508010335917313
5,0.14200573,0.9537621390484532,0.14213285,0.9609302325581396
6,0.11735344,0.9617217485381623,0.13353382,0.9609302325581396
7,0.10176871,0.9658432291800829,0.11455663,0.9663049095607236
8,0.08656999,0.9706086911723036,0.11739853,0.9666149870801034
9,0.08089861,0.9722830426830839,0.116060294,0.9641343669250646
10,0.077151455,0.97313309806548,0.13121268,0.9620671834625323
11,0.08337847,0.9719481723809279,0.10560234,0.9667183462532299
12,0.06844671,0.9755544679426084,0.13827913,0.9668217054263566
13,0.06619185,0.9758635789907524,0.09712858,0.9679586563307494
14,0.06250677,0.9772545787074006,0.10917958,0.9691989664082687
15,0.06098202,0.9785167821539889,0.110302776,0.9673385012919896
16,0.059941508,0.9778728008036888,0.10292681,0.9724031007751938
17,0.060378194,0.9782334303598568,0.09040652,0.9713695090439276
18,0.062166587,0.9780531155817728,0.094576836,0.9714728682170543
19,0.060202796,0.9779500785657247,0.10785181,0.9691989664082687
20,0.061655786,0.9776409675175807,0.091248825,0.9679586563307494
21,0.057804897,0.9791607635042889,0.0935475,0.9702325581395349
22,0.054952573,0.9800108188866851,0.093675345,0.9705426356589147
23,0.05501925,0.979701707838541,0.09190596,0.9720930232558139
24,0.056886565,0.9783879858839288,0.08928436,0.9707493540051679
25,0.054007214,0.9799593003786611,0.1009073,0.9684754521963824
26,0.058061,0.9778985600577007,0.09445607,0.9711627906976744
27,0.05636933,0.979778985600577,0.09487921,0.9718863049095607
28,0.05178247,0.9802684114268051,0.09697245,0.9712661498708011
29,0.051788528,0.980113855902733,0.08799014,0.9728165374677002
30,0.047472887,0.9807835965070452,0.0852421,0.9720930232558139
31,0.052337434,0.9807063187450091,0.09158807,0.9712661498708011
32,0.054850984,0.979547152314469,0.10019439,0.9704392764857881
33,0.05329778,0.979701707838541,0.0978141,0.9714728682170543
34,0.052323602,0.980113855902733,0.09476561,0.9731266149870801
35,0.045405976,0.9819170036835734,0.09123788,0.9712661498708011
36,0.0496748,0.9811699853172252,0.092322275,0.9745736434108527
37,0.048104376,0.9816851703974653,0.08601792,0.9739534883720931
38,0.046366405,0.9815306148733932,0.08546274,0.9734366925064599
39,0.047132473,0.9813245408412973,0.11839143,0.9696124031007752
40,0.046356954,0.9820200406996213,0.10293673,0.9699224806201551
